capture_id,capture_name,total_connections,malicious_connections,malicious_ratio
3,CTU-IoT-Malware-Capture-3,156103,151567,0.9709422624805417
9,CTU-IoT-Malware-Capture-9,6378293,6355745,0.9964648848837769
20,CTU-IoT-Malware-Capture-20,3209,16,0.004985976939856653
42,CTU-IoT-Malware-Capture-42,4426,6,0.0013556258472661546
44,CTU-IoT-Malware-Capture-44,237,26,0.10970464135021098
60,CTU-IoT-Malware-Capture-60,3581028,3578552,0.9993085784305512
35,CTU-IoT-Malware-Capture-35,10447787,2185398,0.20917329191339754
48,CTU-IoT-Malware-Capture-48,3394338,3390604,0.9988999327703959
1,CTU-IoT-Malware-Capture-1,1008748,539473,0.5347946166931682
8,CTU-IoT-Malware-Capture-8,10403,8222,0.790348937806402
21,CTU-IoT-Malware-Capture-21,3286,14,0.00426049908703591
34,CTU-IoT-Malware-Capture-34,23145,21222,0.9169151004536616
